ID, date, average, transport, household, clothing, health, food, transport_walking, transport_car, transport_train, transport_bus, transport_plane, household_heating, household_electricity, household_furnishings, household_lighting, clothing_fastfashion, clothing_sustainable, health_medicines, health_scans, food_meat, food_fish, food_dairy, food_oils
low,2020-09-23 20:50:54,1390.3,417.09,361.48,264.16,222.45,125.13,50.05,116.79,83.42,54.22,66.73,75.91,115.67,83.14,86.76,182.27,81.89,109.0,113.45,81.33,10.01,16.27,17.52
average,2020-11-08 08:33:31,2213.41,575.49,553.35,398.41,398.41,287.74,103.59,109.34,103.59,69.06,80.57,138.34,143.87,110.67,160.47,258.97,139.44,211.16,187.25,86.32,66.18,77.69,57.55
high,2021-06-08 12:58:39,2451.59,931.6,980.64,171.61,98.06,269.67,149.06,167.69,111.79,158.37,214.27,166.71,176.52,294.19,343.22,92.67,78.94,45.11,52.95,75.51,53.93,70.11,70.11
low,2021-08-10 07:21:54,1427.41,399.67,499.59,142.74,199.84,185.56,75.94,83.93,67.94,43.96,39.97,79.93,164.86,139.89,114.91,75.65,67.09,61.95,137.89,107.62,27.83,11.13,38.97
average,2021-04-12 04:26:17,2210.31,552.58,862.02,221.03,331.55,243.13,154.72,110.52,66.31,88.41,93.94,112.06,206.88,293.09,249.99,123.78,97.25,152.51,179.04,133.72,36.47,36.47,36.47
high,2021-05-28 13:09:23,3116.13,779.03,841.36,498.58,405.1,592.06,225.92,233.71,155.81,23.37,101.27,210.34,193.51,218.75,218.75,264.25,234.33,133.68,271.42,426.28,53.29,65.13,47.36
low,2021-07-27 15:46:57,1704.38,613.58,426.1,221.57,255.66,187.48,92.04,67.49,122.72,134.99,116.58,123.57,110.79,102.26,89.48,132.94,88.63,163.62,92.04,84.37,35.62,33.75,33.75
average,2021-02-07 07:26:25,2198.23,725.42,571.54,241.81,439.65,219.82,195.86,72.54,108.81,79.8,145.08,85.73,177.18,154.32,154.32,169.27,72.54,193.45,246.2,162.67,21.98,15.39,19.78
high,2021-05-21 22:35:27,2473.14,840.87,717.21,370.97,395.7,148.39,100.9,176.58,109.31,159.77,142.95,179.3,150.61,186.47,200.82,244.84,126.13,193.89,201.81,103.87,19.29,7.42,17.81
low,2021-07-29 11:59:28,1913.15,516.55,593.08,363.5,172.18,267.84,123.97,113.64,67.15,77.48,72.32,106.75,171.99,171.99,142.34,214.46,149.04,115.36,56.82,192.84,32.14,18.75,24.11
average,2020-12-28 07:49:30,2257.29,677.19,677.19,293.45,225.73,383.74,148.98,128.67,74.49,101.58,88.03,196.39,196.39,148.98,135.44,161.4,132.05,63.2,162.53,268.62,42.21,26.86,46.05
high,2020-12-12 20:34:47,2566.26,923.85,923.85,359.28,153.98,205.3,166.29,212.49,110.86,138.58,138.58,101.62,286.39,277.15,258.68,229.94,129.34,104.71,49.27,82.12,39.01,43.11,41.06
low,2021-07-28 19:13:04,1271.04,355.89,355.89,165.24,228.79,165.24,53.38,67.62,67.62,53.38,53.38,96.09,99.65,78.3,81.85,114.02,51.22,107.53,121.26,123.93,9.91,9.91,21.48
average,2020-12-13 07:48:00,2235.05,625.81,759.92,290.56,268.21,290.56,131.42,125.16,81.36,93.87,87.61,189.98,258.37,182.38,129.19,174.34,116.22,147.52,120.69,209.2,29.06,34.87,17.43
high,2020-11-25 03:22:42,3019.26,996.36,1026.55,332.12,362.31,301.93,119.56,139.49,189.31,229.16,179.34,153.98,225.84,349.03,297.7,232.48,99.64,184.78,177.53,123.79,60.39,48.31,69.44
low,2020-12-21 05:21:10,1461.95,409.35,584.78,160.81,190.05,116.96,57.31,45.03,77.78,65.5,81.87,64.33,192.98,204.67,122.8,90.05,70.76,95.03,95.03,83.04,10.53,12.87,10.53
average,2021-08-04 15:40:48,2206.69,794.41,551.67,353.07,331.0,176.54,230.38,166.83,119.16,63.55,119.16,137.92,171.02,121.37,121.37,247.15,105.92,191.98,139.02,47.67,51.2,40.6,37.07
high,2021-06-16 06:15:21,2566.53,795.62,923.95,230.99,359.31,256.65,111.39,190.95,143.21,119.34,119.34,267.95,240.23,184.79,230.99,131.66,99.33,229.96,129.35,100.09,53.9,51.33,51.33
low,2021-07-09 09:29:34,1598.71,415.66,399.68,223.82,303.75,255.79,95.6,95.6,54.04,70.66,54.04,95.92,99.92,91.93,111.91,141.01,82.81,124.54,179.21,145.8,30.69,48.6,30.69
average,2020-09-14 04:36:54,2173.05,586.72,869.22,260.77,239.04,217.3,146.68,170.15,105.61,52.8,82.14,104.31,199.92,234.69,330.3,138.21,122.56,83.66,155.38,95.61,45.63,36.94,39.11
high,2020-10-15 21:19:40,2957.99,857.82,916.98,502.86,325.38,354.96,223.03,111.52,85.78,145.83,128.67,128.38,293.43,229.25,265.92,251.43,251.43,104.12,221.26,195.23,67.44,35.5,56.79
low,2021-03-22 08:13:23,1255.49,439.42,401.76,138.1,87.88,188.32,65.91,96.67,74.7,74.7,48.34,40.18,80.35,152.67,128.56,71.81,66.29,35.15,52.73,48.96,50.85,43.31,45.2
average,2020-11-22 20:36:18,2221.79,555.45,755.41,266.62,311.05,333.27,144.42,105.54,66.65,88.87,77.76,120.87,151.08,226.62,256.84,162.64,103.98,199.07,111.98,96.65,93.32,86.65,56.66
high,2021-02-16 03:07:15,2833.5,906.72,963.39,283.35,425.02,255.01,253.88,108.81,136.01,154.14,81.6,154.14,250.48,317.92,240.85,158.68,124.67,153.01,272.01,81.6,58.65,63.75,51.0
low,2021-05-14 12:05:51,1943.41,583.02,602.46,194.34,272.08,291.51,75.79,145.75,87.45,104.94,93.28,138.57,144.59,168.69,150.62,128.26,66.08,160.53,111.55,189.48,49.56,26.24,26.24
average,2021-05-15 20:34:29,2251.55,607.92,697.98,270.19,292.7,382.76,72.95,151.98,72.95,103.35,109.43,195.43,118.66,181.47,202.41,148.6,121.59,172.69,120.01,283.24,34.45,22.97,42.1
high,2021-03-20 07:29:52,3136.81,1191.99,1160.62,345.05,250.94,188.21,131.12,345.68,202.64,95.36,214.56,162.49,348.19,348.19,301.76,193.23,151.82,117.94,133.0,77.17,30.11,50.82,30.11
low,2021-08-05 08:36:19,1301.82,481.67,429.6,117.16,91.13,182.25,72.25,120.42,77.07,77.07,62.62,103.1,141.77,98.81,85.92,77.33,39.83,59.23,31.9,74.72,34.63,32.8,40.09
average,2021-03-31 08:03:10,2209.61,618.69,751.27,287.25,353.54,198.87,105.18,136.11,117.55,86.62,86.62,217.87,157.77,157.77,217.87,169.48,117.77,162.63,190.91,73.58,49.72,35.8,39.77
high,2020-12-09 09:56:02,2617.42,863.75,759.05,209.39,392.61,392.61,233.21,86.38,138.2,138.2,129.56,227.71,227.71,144.22,159.4,144.48,64.91,227.71,164.9,263.05,43.19,31.41,54.97
low,2021-05-27 08:43:01,1389.91,486.47,472.57,152.89,138.99,138.99,111.89,111.89,92.43,63.24,38.92,118.14,122.87,132.32,99.24,81.03,71.86,52.82,86.17,48.65,31.97,36.14,22.24
average,2020-10-20 03:45:47,2194.28,658.28,833.83,219.43,197.49,285.26,98.74,190.9,118.49,85.58,105.32,158.43,283.5,225.13,166.77,133.85,85.58,90.85,106.64,85.58,51.35,65.61,82.73
high,2021-05-08 16:31:50,3127.3,1219.65,1094.56,281.46,250.18,281.46,158.55,329.31,195.14,170.75,195.14,207.97,383.1,229.86,273.64,157.62,123.84,102.57,147.61,202.65,28.15,22.52,28.15
low,2020-10-17 08:29:20,1295.23,414.47,388.57,129.52,181.33,181.33,111.91,66.32,74.6,66.32,45.59,85.49,104.91,101.03,97.14,84.19,45.33,92.48,88.85,85.23,36.27,29.01,30.83
average,2021-07-10 07:05:31,2208.94,618.5,684.77,463.88,154.63,287.16,185.55,68.04,111.33,61.85,80.4,150.65,191.74,150.65,191.74,278.33,185.55,41.75,112.88,120.61,68.92,40.2,57.43
high,2021-06-14 14:05:37,2832.04,708.01,934.57,311.52,566.41,311.52,106.2,120.36,120.36,155.76,92.04,205.61,140.19,299.06,289.72,214.95,96.57,243.56,322.85,143.3,40.5,74.76,52.96
low,2020-12-16 07:25:04,1371.77,480.12,521.27,109.74,150.89,109.74,62.42,72.02,57.61,76.82,91.22,119.89,140.74,135.53,125.1,63.65,46.09,64.88,86.01,61.45,18.66,13.17,16.46
average,2021-01-26 06:39:54,2202.81,616.79,770.98,286.37,264.34,264.34,178.87,123.36,98.69,55.51,86.35,169.62,161.91,285.26,154.2,189.0,97.37,79.3,185.04,190.32,37.01,21.15,15.86
high,2021-02-14 04:47:44,2876.23,776.58,891.63,431.43,316.39,460.2,217.44,93.19,116.49,132.02,108.72,222.91,240.74,213.99,213.99,280.43,151.0,104.41,211.98,294.53,55.22,59.83,50.62
low,2020-09-01 15:33:07,1601.69,528.56,576.61,192.2,144.15,160.17,63.43,105.71,89.86,95.14,105.71,109.56,121.09,149.92,196.05,111.48,80.72,54.78,89.37,86.49,25.63,19.22,28.83
average,2021-06-03 08:27:51,2251.31,742.93,765.45,202.62,247.64,292.67,141.16,193.16,81.72,81.72,170.87,176.05,168.4,183.71,237.29,117.52,85.1,79.24,168.4,79.02,84.87,58.53,70.24
high,2020-10-07 06:37:58,3126.96,813.01,1250.78,250.16,469.04,343.97,121.95,186.99,130.08,154.47,97.56,187.62,325.2,450.28,287.68,125.08,125.08,121.95,347.09,147.91,68.79,85.99,41.28
low,2020-12-08 03:04:48,1757.07,632.55,614.97,193.28,158.14,158.14,145.49,139.16,94.88,101.21,69.58,86.1,141.44,184.49,202.94,110.17,83.11,44.28,113.86,45.86,41.12,26.88,44.28
average,2021-02-17 05:12:48,2262.31,814.43,791.81,180.98,226.23,248.85,203.61,162.89,114.02,73.3,114.02,118.77,229.62,213.79,229.62,112.21,68.77,131.21,95.02,131.89,37.33,42.3,37.33
high,2020-09-26 14:29:46,2959.22,828.58,976.54,325.51,473.48,355.11,149.14,165.72,149.14,116.0,107.72,195.31,302.73,273.43,205.07,192.05,133.46,203.6,269.88,237.92,35.51,42.61,39.06
low,2021-04-06 10:55:50,1906.89,495.79,743.69,247.9,133.48,286.03,84.28,138.82,74.37,69.41,64.45,185.92,208.23,200.8,148.74,171.05,76.85,65.41,68.07,197.36,28.6,25.74,34.32
average,2021-04-23 23:35:04,2242.07,650.2,672.62,291.47,291.47,336.31,117.04,162.55,84.53,91.03,71.52,87.44,188.33,201.79,195.06,201.11,90.36,192.37,99.1,228.69,33.63,26.9,47.08
high,2020-11-29 19:03:32,3182.3,1018.34,1050.16,381.88,222.76,509.17,285.14,152.75,132.38,152.75,132.38,315.05,252.04,178.53,304.55,206.22,175.66,164.84,57.92,330.96,66.19,61.1,50.92
low,2021-07-10 11:18:45,1814.33,453.58,653.16,235.86,235.86,235.86,58.97,72.57,72.57,90.72,77.11,84.91,195.95,156.76,215.54,139.16,96.7,127.36,108.5,132.08,35.38,40.1,28.3
average,2020-12-08 19:20:52,2214.87,598.01,775.2,265.78,177.19,398.68,101.66,107.64,65.78,113.62,89.7,193.8,217.06,178.3,186.05,143.52,122.26,62.02,115.17,279.08,23.92,51.83,43.85
high,2020-12-15 04:27:06,2494.07,972.69,748.22,124.7,374.11,274.35,136.18,252.9,107.0,175.08,175.08,157.13,187.06,202.02,202.02,78.56,46.14,198.28,175.83,109.74,43.9,43.9,76.82
low,2021-05-13 10:30:03,1328.11,438.28,531.24,132.81,132.81,92.97,131.48,78.89,56.98,43.83,43.83,132.81,138.12,122.19,138.12,82.34,50.47,82.34,50.47,63.22,7.44,14.88,7.44
average,2020-11-21 00:55:28,2255.96,857.26,812.14,157.92,180.48,248.16,145.73,205.74,162.88,94.3,162.88,89.34,219.28,121.82,381.71,93.17,64.75,110.09,70.39,69.48,49.63,57.08,71.97
high,2021-02-27 21:34:47,2588.24,776.47,802.35,414.12,181.18,414.12,132.0,209.65,108.71,93.18,108.71,104.31,240.7,192.56,264.78,269.18,144.94,63.41,117.77,207.06,57.98,70.4,78.68
low,2020-11-01 01:14:41,1466.15,366.54,557.14,175.94,205.26,161.28,51.32,84.3,47.65,62.31,69.64,144.86,156.0,161.57,94.71,109.08,66.86,100.58,104.68,87.09,22.58,24.19,27.42
average,2021-06-12 09:59:41,2264.49,905.8,769.93,135.87,249.09,203.8,99.64,153.99,117.75,208.33,135.87,146.29,207.88,192.48,223.28,72.01,63.86,166.89,82.2,130.43,22.42,36.68,14.27
high,2020-10-12 11:10:14,2518.77,730.44,654.88,428.19,277.06,428.19,175.31,168.0,131.48,87.65,73.04,104.78,209.56,176.82,163.72,256.91,171.28,94.2,182.86,261.2,51.38,55.66,59.95
low,2021-04-08 14:31:02,1436.05,473.9,402.09,186.69,186.69,186.69,71.08,66.35,90.04,85.3,85.3,84.44,68.36,128.67,120.63,100.81,85.88,128.82,57.87,115.75,22.4,24.27,24.27
average,2021-01-06 18:02:58,2227.69,868.8,646.03,222.77,311.88,178.22,234.58,260.64,156.38,95.57,78.19,77.52,226.11,219.65,122.75,113.61,109.16,165.3,146.58,130.1,14.26,8.91,24.95
high,2021-04-05 08:09:02,2644.97,872.84,793.49,343.85,211.6,423.2,235.67,165.84,104.74,130.93,61.1,222.18,150.76,238.05,182.5,220.06,123.79,135.42,76.18,283.54,46.55,59.25,33.86
low,2020-09-06 12:33:27,1801.94,594.64,504.54,234.25,198.21,270.29,130.82,130.82,107.04,71.36,107.04,50.45,136.23,141.27,176.59,142.89,91.36,79.28,118.93,67.57,51.36,75.68,75.68
average,2021-04-06 07:31:06,2184.86,589.91,589.91,415.12,305.88,284.03,153.38,88.49,82.59,53.09,106.18,58.99,153.38,218.27,159.28,269.83,145.29,128.47,177.41,176.1,25.56,42.6,39.76
high,2020-09-10 03:20:04,2687.58,779.4,779.4,322.51,403.14,403.14,218.23,218.23,140.29,38.97,93.53,210.44,226.03,163.67,179.26,183.83,138.68,161.26,241.88,302.36,28.22,44.35,28.22
low,2020-09-02 11:21:12,1469.56,382.09,470.26,220.43,132.26,264.52,114.63,110.81,64.96,34.39,34.39,131.67,84.65,122.27,131.67,134.46,85.97,48.94,83.32,148.13,47.61,47.61,21.16
average,2020-11-03 09:22:46,2258.02,745.15,812.89,293.54,158.06,248.38,201.19,186.29,96.87,134.13,59.61,235.74,203.22,178.84,195.09,190.8,102.74,45.84,112.22,91.9,59.61,57.13,39.74
high,2020-12-25 14:08:52,2907.4,930.37,872.22,407.04,407.04,290.74,111.64,204.68,120.95,139.56,139.56,165.72,226.78,279.11,200.61,211.66,195.38,187.24,219.8,218.06,23.26,26.17,23.26
low,2021-02-19 13:15:34,1660.64,431.77,614.44,249.1,166.06,199.28,90.67,77.72,77.72,60.45,86.35,116.74,233.49,172.04,92.17,151.95,97.15,58.12,107.94,101.63,33.88,35.87,27.9
average,2020-12-16 16:53:02,2239.75,627.13,604.73,403.16,291.17,313.57,137.97,131.7,119.15,81.53,81.53,126.99,163.28,193.51,120.95,221.74,181.42,116.47,174.7,134.84,47.04,65.85,65.85
high,2021-04-17 01:42:30,2530.83,809.87,733.94,379.62,278.39,329.01,194.37,153.88,105.28,72.89,129.58,102.75,220.18,234.86,176.15,254.35,125.27,178.17,100.22,246.76,26.32,29.61,26.32
low,2021-01-29 20:53:05,1345.0,403.5,470.75,255.55,107.6,107.6,80.7,88.77,56.49,56.49,76.67,61.2,145.93,136.52,127.1,130.33,125.22,30.13,77.47,78.55,10.76,10.76,7.53
average,2021-03-16 09:14:59,2211.1,574.89,840.22,265.33,221.11,309.55,160.97,86.23,68.99,45.99,120.73,226.86,134.44,260.47,218.46,164.5,100.83,130.45,90.66,86.67,92.86,71.2,58.81
high,2021-02-04 05:10:43,2742.9,1097.16,1042.3,219.43,219.43,164.57,164.57,175.55,164.57,186.52,175.55,156.34,271.0,250.15,364.8,114.1,105.33,131.66,87.77,116.84,16.46,13.17,18.1
low,2021-04-26 19:08:39,1308.34,457.92,510.25,117.75,104.67,117.75,87.0,100.74,64.11,59.53,87.0,147.97,153.07,127.56,81.64,62.41,55.34,28.26,76.41,49.45,24.73,24.73,18.84
average,2021-05-10 00:37:18,2219.79,554.95,865.72,199.78,288.57,310.77,116.54,55.5,110.99,110.99,77.69,190.46,285.69,216.43,173.14,109.88,89.9,152.94,135.63,205.11,34.18,43.51,27.97
high,2021-07-01 20:48:11,2619.52,995.42,995.42,261.95,235.76,130.98,248.85,169.22,129.4,169.22,99.54,139.36,328.49,318.53,209.04,157.17,104.78,68.37,167.39,69.42,31.44,17.03,13.1
low,2020-11-09 09:59:14,1547.98,433.43,433.43,247.68,185.76,247.68,78.02,65.01,78.02,82.35,65.01,104.02,78.02,121.36,130.03,156.04,91.64,130.03,55.73,79.26,49.54,56.97,61.92
average,2020-12-04 13:22:19,2249.18,674.75,787.21,202.43,314.88,269.9,134.95,182.18,121.46,94.46,80.97,94.47,236.16,251.91,204.67,139.68,62.75,116.51,198.37,183.53,29.69,35.09,21.59
high,2021-01-22 06:31:27,2550.23,994.59,867.08,229.52,178.52,280.53,109.4,159.13,119.35,198.92,208.86,173.42,277.47,199.43,216.77,114.76,114.76,94.62,83.9,201.98,22.44,33.66,22.44
low,2021-01-11 23:49:49,1301.24,507.48,351.33,156.15,130.12,156.15,55.82,121.8,71.05,81.2,91.35,52.7,101.89,98.37,98.37,85.88,70.27,53.35,76.77,65.58,35.91,23.42,31.23
average,2021-06-22 16:48:33,2234.74,804.5,603.38,312.86,312.86,201.13,225.26,217.22,144.81,56.32,104.58,96.54,181.01,162.91,162.91,168.94,143.92,193.97,118.89,138.78,24.14,16.09,22.12
high,2021-06-14 16:51:52,3154.99,883.4,820.3,315.5,599.45,536.35,123.68,114.84,150.18,167.85,167.85,155.86,213.28,246.09,205.07,201.92,113.58,389.64,209.81,391.54,48.27,48.27,48.27
low,2021-02-20 12:32:42,1271.27,432.23,457.66,76.28,165.27,139.84,129.67,116.7,60.51,43.22,25.93,114.42,141.87,73.23,128.14,52.63,23.65,89.25,76.02,64.33,23.77,29.37,22.37
average,2020-12-19 04:38:54,2248.1,831.8,584.51,247.29,359.7,224.81,207.95,133.09,133.09,74.86,174.68,75.99,216.27,140.28,151.97,136.01,111.28,147.48,212.22,164.11,17.98,11.24,31.47
high,2021-01-12 14:42:05,2481.69,868.59,843.77,248.17,248.17,272.99,173.72,217.15,95.54,138.97,147.66,177.19,278.44,227.82,160.32,136.49,111.68,91.82,156.35,152.87,38.22,38.22,43.68
low,2020-09-24 21:05:11,1626.55,520.5,504.23,130.12,276.51,195.19,72.87,57.26,62.46,98.89,98.89,141.18,90.76,110.93,161.35,81.98,48.14,185.26,91.25,144.44,9.76,15.62,25.37
average,2021-02-07 00:27:14,2179.32,544.83,719.18,283.31,326.9,305.11,103.52,152.55,108.97,49.03,54.48,172.6,122.26,201.37,222.95,141.66,141.66,222.29,104.61,103.74,88.48,64.07,48.82
high,2021-03-28 01:09:43,2727.98,763.83,845.67,354.64,463.76,300.08,152.77,175.68,84.02,122.21,99.3,109.94,262.16,287.53,186.05,191.51,163.13,310.72,153.04,81.02,75.02,69.02,75.02
low,2020-09-22 09:35:53,1897.5,550.27,550.27,265.65,246.68,284.62,66.03,165.08,104.55,55.03,66.03,93.55,132.06,192.59,132.06,151.42,114.23,148.01,98.67,76.85,79.69,68.31,59.77
average,2021-03-25 00:33:58,2208.11,684.52,640.35,242.89,419.54,220.81,198.51,157.44,130.06,54.76,61.61,102.46,179.3,179.3,179.3,123.87,119.02,268.51,151.03,123.65,26.5,30.91,39.75
high,2021-03-15 17:40:24,2716.58,842.14,1032.3,325.99,271.66,244.49,126.32,202.11,151.59,117.9,151.59,299.37,154.84,309.69,268.4,169.51,156.48,78.78,192.88,132.02,36.67,44.01,31.78
low,2020-10-27 19:47:20,1279.17,447.71,332.58,127.92,243.04,127.92,71.63,98.5,71.63,53.73,85.06,63.19,79.82,103.1,86.47,88.26,39.66,72.91,170.13,43.49,26.86,30.7,26.86
average,2020-11-13 17:30:59,2223.57,689.31,867.19,266.83,266.83,133.41,110.29,82.72,130.97,137.86,117.18,182.11,199.45,242.81,242.81,157.43,109.4,136.08,130.75,92.05,14.68,16.01,10.67
